sheet,row,code,measure,range,year,excel,pipeline,status,diff,n_sumifs,sample_formula
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved,base,2014,0.0,0.0,MATCH,0.0,1,"=SUM(SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.16 Research and innovation services contracted out by self-finance facilities""))"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved,base,2015,0.0,0.0,MATCH,0.0,1,"=SUM(SUMIFS(approved,year,C$1,transfer,""Excluding transfers"",econ2,""113.16 Research and innovation services contracted out by self-finance facilities""))"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved_16,16,2016,103457400.0,103457400.0,MATCH,0.0,1,"=SUM(SUMIFS(approved_16,year_16,M$1,transfer_16,""Cu exceptia transferurilor"",econ0_16,""Expenditures"",econ5_16,""222930 Servicii de cercetari stiintifice contractate""))"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved_16,16,2017,95002000.0,95002000.0,MATCH,0.0,1,"=SUMIFS(approved_16,year_16,N$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",econ5_16,""222930 Servicii de cercetari stiintifice contractate"")"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved_16,16,2018,91080700.0,91080700.0,MATCH,0.0,1,"=SUMIFS(approved_16,year_16,N$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",econ5_16,""222930 Servicii de cercetari stiintifice contractate"")"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved_16,16,2019,88713100.0,88713100.0,MATCH,0.0,1,"=SUMIFS(approved_16,year_16,N$1,transfer_16,""Cu exceptia transferurilor"", econ0_16,""Expenditures"",econ5_16,""222930 Servicii de cercetari stiintifice contractate"")"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved_20,20,2020,137678200.0,137678200.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",econ5_20,""222930 Servicii de cercetari stiintifice contractate"")"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved_20,20,2021,127220475.0,127220475.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",econ5_20,""222930 Servicii de cercetari stiintifice contractate"")"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved_20,20,2022,141304000.0,141304000.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",econ5_20,""222930 Servicii de cercetari stiintifice contractate"")"
Approved,13,EXP_ECON_GOO_SER_EMP_CON_EXE,approved_20,20,2023,430939900.0,430939900.0,MATCH,0.0,1,"=SUMIFS(approved_20,year_20,Q$1,transfer_20,""Cu exceptia transferurilor"", econ0_20,""Expenditures"",econ5_20,""222930 Servicii de cercetari stiintifice contractate"")"
